code,text
QUESTION TITLE,QUESTION TITLE
,
Does the parliament have transparency policies or guidelines?,Does the parliament have transparency policies or guidelines?
Does the parliament have an open data policy?,Does the parliament have an open data policy?
Is parliamentary information openly licensed?,Is parliamentary information openly licensed?
Does the parliament require payment for access to certain information?,Does the parliament require payment for access to certain information?
Does the parliament have a website?,Does the parliament have a website?
REMOVE QUESTION,REMOVE QUESTION
Does parliament have offices outside the capital where citizens can access parliamentary information?,Does parliament have offices outside the capital where citizens can access parliamentary information?
Is interpretation provided for parliamentary proceedings?,Is interpretation provided for parliamentary proceedings?
Are parliamentary documents translated?,Are parliamentary documents translated?
Does the parliament provide plain language summaries of legislative information?,Does the parliament provide plain language summaries of legislative information?
Does the parliament's website have a publicly posted privacy policy?,Does the parliament's website have a publicly posted privacy policy?
Does the parliament provide publicly available alert services?,Does the parliament provide publicly available alert services?
"Include this with previous questions, perhaps in the dialogue box. ","Include this with previous questions, perhaps in the dialogue box. "
Is information on parliament's roles and functions available?,Is information on parliament's roles and functions available?
Are the parliament's rules of procedure available?,Are the parliament's rules of procedure available?
Is the parliament's session calendar available?,Is the parliament's session calendar available?
Is the parliament's order of business available?,Is the parliament's order of business available?
Can a member of the public observe or listen to parliamentary plenary sessions?,Can a member of the public observe or listen to parliamentary plenary sessions?
Are verbatim plenary transcripts available?,Are verbatim plenary transcripts available?
Are roll call voting records available?,Are roll call voting records available?
Is draft legislation available?,Is draft legislation available?
Is bill status information available?,Is bill status information available?
Is there a public database of all legislation?,Is there a public database of all legislation?
Are parliamentary reports available?,Are parliamentary reports available?
Is a description of committee powers and functions available?,Is a description of committee powers and functions available?
Are committee rules available?,Are committee rules available?
Can the public observe committee meetings?,Can the public observe committee meetings?
Are committee schedules available?,Are committee schedules available?
Are committee meeting agendas available?,Are committee meeting agendas available?
Are verbatim committee transcripts available?,Are verbatim committee transcripts available?
Are committee voting records available?,Are committee voting records available?
Is evidence submitted to committees available?,Is evidence submitted to committees available?
Are committee reports available?,Are committee reports available?
Are committee resolutions available?,Are committee resolutions available?
REMOVE,REMOVE
Is information on MPs' roles and committee memberships available?,Is information on MPs' roles and committee memberships available?
Is information on MPs' party affiliation available?,Is information on MPs' party affiliation available?
Is contact information for MPs available?,Is contact information for MPs available?
Are plenary attendance records available?,Are plenary attendance records available?
Are committee attendance records available?,Are committee attendance records available?
Is information on MPs' expenses available?,Is information on MPs' expenses available?
Is there a register of lobbyists?,Is there a register of lobbyists?
Is information on MPs' assets and interests available?,Is information on MPs' assets and interests available?
Is information on MPs' involvement in corporate boards available?,Is information on MPs' involvement in corporate boards available?
Are the results of parliamentary investigations available?,Are the results of parliamentary investigations available?
Is the parliament's budget available?,Is the parliament's budget available?
Is information on parliament's expenditures available?,Is information on parliament's expenditures available?
Is information on parliament's contracts available?,Is information on parliament's contracts available?
Is information on roles and structure of administrative offices available?,Is information on roles and structure of administrative offices available?
